"GEOID","NAME","percent_asian","percent_black","percent_white","percent_other","percent_latinx"
"48201311200","Census Tract 3112, Harris County, Texas",0.0018,0.0238,0.779,0.1954,0.8915
"48201311300","Census Tract 3113, Harris County, Texas",0.0326,0.0022,0.7351,0.2301,0.9532
"48201311400","Census Tract 3114, Harris County, Texas",0,0.1596,0.4349,0.4055,0.8362
"48201311500","Census Tract 3115, Harris County, Texas",0.0127,0.0145,0.6761,0.2967,0.9531
"48201311600","Census Tract 3116, Harris County, Texas",0.0229,0.0676,0.4193,0.4902,0.8871
"48201311700","Census Tract 3117, Harris County, Texas",0.0087,0.0974,0.702,0.192,0.8751
"48201311800","Census Tract 3118, Harris County, Texas",0.0375,0.0122,0.6314,0.3189,0.9119
"48201311900","Census Tract 3119, Harris County, Texas",0.0297,0.0249,0.6076,0.3378,0.8488
"48201312000","Census Tract 3120, Harris County, Texas",0.1512,0.3265,0.4608,0.0615,0.1416
"48201312100","Census Tract 3121, Harris County, Texas",0.1873,0.2238,0.5615,0.0273,0.1749
"48201312200","Census Tract 3122, Harris County, Texas",0.0026,0.9268,0.0655,0.0052,0.0474
"48201312300","Census Tract 3123, Harris County, Texas",0.0239,0.6443,0.285,0.0468,0.1944
"48201312400","Census Tract 3124, Harris County, Texas",0,0.8682,0.0997,0.0321,0.1148
"48201312500","Census Tract 3125, Harris County, Texas",0.1254,0.2,0.6167,0.0579,0.1853
"48201312600","Census Tract 3126, Harris County, Texas",0.1445,0.1182,0.6584,0.079,0.1922
"48201312700","Census Tract 3127, Harris County, Texas",0.0222,0.7724,0.1759,0.0295,0.0474
"48201312800","Census Tract 3128, Harris County, Texas",0.0462,0.748,0.1763,0.0295,0.1159
"48201312900","Census Tract 3129, Harris County, Texas",0.0365,0.8076,0.1291,0.0268,0.0294
"48201313000","Census Tract 3130, Harris County, Texas",0.0088,0.7368,0.2072,0.0471,0.1071
"48201313100","Census Tract 3131, Harris County, Texas",0.1773,0.1358,0.6616,0.0252,0.1193
"48201313200","Census Tract 3132, Harris County, Texas",0.0533,0.7406,0.1993,0.0068,0.0653
"48201313300","Census Tract 3133, Harris County, Texas",0.0072,0.7664,0.2023,0.0241,0.1445
"48201313400","Census Tract 3134, Harris County, Texas",0.0131,0.79,0.1494,0.0474,0.1094
"48201313500","Census Tract 3135, Harris County, Texas",0,0.7385,0.2285,0.033,0.2213
"48201313600","Census Tract 3136, Harris County, Texas",0.0196,0.7101,0.2299,0.0404,0.209
"48201313700","Census Tract 3137, Harris County, Texas",0.0068,0.8475,0.1398,0.0059,0.0982
"48201313800","Census Tract 3138, Harris County, Texas",0.0043,0.8794,0.1125,0.0038,0.1351
"48201313900","Census Tract 3139, Harris County, Texas",0.2083,0.3041,0.4452,0.0424,0.1218
"48201314001","Census Tract 3140.01, Harris County, Texas",0.3936,0.1392,0.4087,0.0585,0.1329
"48201314002","Census Tract 3140.02, Harris County, Texas",0.3949,0.1826,0.3927,0.0298,0.0547
"48201314300","Census Tract 3143, Harris County, Texas",0.0388,0.8136,0.1185,0.029,0.0722
"48201314400","Census Tract 3144, Harris County, Texas",0.4828,0.0292,0.4338,0.0542,0.0992
"48201320100","Census Tract 3201, Harris County, Texas",0.0274,0.0466,0.6467,0.2793,0.9018
"48201320200","Census Tract 3202, Harris County, Texas",0.0999,0.0072,0.5906,0.3024,0.8341
"48201320500","Census Tract 3205, Harris County, Texas",0.0177,0.0026,0.7124,0.2673,0.8955
"48201320601","Census Tract 3206.01, Harris County, Texas",0.004,0.0482,0.6803,0.2675,0.9128
"48201320602","Census Tract 3206.02, Harris County, Texas",0,0.0359,0.6294,0.3347,0.905
"48201320700","Census Tract 3207, Harris County, Texas",0.0621,0.152,0.6033,0.1826,0.7244
"48201320800","Census Tract 3208, Harris County, Texas",0,0.0052,0.8453,0.1495,0.9302
"48201320900","Census Tract 3209, Harris County, Texas",0.0034,0.0469,0.8379,0.1118,0.8563
"48201321000","Census Tract 3210, Harris County, Texas",0.0055,0.0899,0.8131,0.0914,0.8207
"48201321100","Census Tract 3211, Harris County, Texas",0.0798,0.1406,0.6804,0.0992,0.622
"48201321200","Census Tract 3212, Harris County, Texas",0.0196,0.0983,0.7953,0.0868,0.7834
"48201321300","Census Tract 3213, Harris County, Texas",0.0059,0.089,0.8417,0.0634,0.8194
"48201321401","Census Tract 3214.01, Harris County, Texas",0.0045,0.0017,0.8383,0.1555,0.9273
"48201321402","Census Tract 3214.02, Harris County, Texas",0,0,0.8243,0.1757,0.8776
